CODI_LLAR 	CODI_PERSONA 	T1_ID_SEC_TRIM 	T1_DATA_DIA 	T1_DATA_MES 	T1_DATA_ANY 	T2_HH_INICI 	T2_MM_INICI 	T6_HH_FI 	T6_MM_FI 	T7_QUAN 	T7_QUAN_TARD 	T7_TIPUS_DIA 	T7_INUSUAL_1 	T7_INUSUAL_2 	T7_INUSUAL_3 	T7_INUSUAL_4 	T7_VIATGE 	T7_VIATGE_KM 	T7_T_REMUNERAT 	curaper 	treball 	estudi 	llarfam 	volreun 	vidsoc 	esport 	aficc 	mitjcom 	trajecte 	curaper2 	treball2 	estudi2 	llarfam2 	volreun2 	vidsoc2 	esport2 	aficc2 	mitjcom2 	trajecte2 	dormir 	menjar 	altrecur 	trebprin 	altretreb 	estudis_ne 	estudis 	estudis_tll 	llarfam_ne 	culin 	mantllar 	confecc 	jardi 	repar 	compra 	gestio 	curanen 	curadul 	organit 	altllar 	particip 	sociabil 	cultura 	lleurepa 	exfis 	exprod 	altresp 	art   	informat 	jocs  	lectura 	Tele  	radio 	desplaç_fi 	desplaç_treb 	desplaç_est 	desplaç_llarfam 	desplaç_vol 	desplaç_vidsoc 	desplaç_tll 	desplaç_muni 	codis_aux 	total_hores_dia 	dormir2 	menjar2 	altrecur2 	trebprin2 	altretreb2 	estudis_ne2 	estudis2 	estudis_tll2 	llarfam_ne2 	culin2 	mantllar2 	confecc2 	jardi2 	repar2 	compra2 	gestio2 	curanen2 	curadul2 	organit2 	altllar2 	particip2 	sociabil2 	cultura2 	lleurepa2 	exfis2 	exprod2 	altresp2 	art2 	informat2 	jocs2 	lectura2 	tele2 	radio2 	desplaç_fi2 	desplaç_treb2 	desplaç_est2 	desplaç_llarfam2 	desplaç_vol2 	desplaç_vidsoc2 	desplaç_tll2 	desplaç_muni2 	codis_aux2 	aprin_6 	aprin_7 	aprin_8 	aprin_9 	aprin_10 	aprin_11 	aprin_12 	aprin_13 	aprin_14 	aprin_15 	aprin_16 	aprin_17 	aprin_18 	aprin_19 	aprin_20 	aprin_21 	aprin_22 	aprin_23 	aprin_24 	aprin_1 	aprin_2 	aprin_3 	aprin_4 	aprin_5 	DIM_MUN 	SectorsActivitats
787	2	3	28	8	10			10	0	2		1		             			1		1	42600	0	0	16200	0	10800	3600	0	7800	5400	1			1		1	1		1	1	32400	6600	3600	0	0	0	0	0	0	1800	10800	1800	0	0	1800	0	0	0	0	0	0	10800	0	0	3600	0	0	0	0	0	0	7800	0	0	0	0	0	0	5400	0	0	0	86400	1	1	1			            			            	1	1	1			1							1			1	        						1							1				0	0	0	0	0	3	3	8	8	8	0	9	5	3	6	0	5	5	9	0	0	0	0	0	3	2
788	1	3	28	8	10	4	0	10	0	2		2		             	1		1		6	60000	0	0	0	0	13800	0	1200	0	11400	1					1		1		1	46200	4800	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	0	12000	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	3600	7800	0	0	86400	1	1	1			            			            													1		1		        				1									1	1			0	0	0	0	0	9	5	9	5	5	0	5	9	9	0	0	0	0	0	0	0	0	0	0	3	99
788	2	3	28	8	10	23	50	7	30	3		1		             			1		1	26400	43200	0	0	0	8400	0	0	3600	4800	1	1				1			1	1	21600	3600	1200	43200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8400	0	0	0	0	0	0	0	3600	0	0	4800	0	0	0	0	0	0	0	86400	1	1	1	1		            			            															1		        						1			1								0	1	1	1	1	1	1	1	1	1	1	1	1	9	5	5	0	8	0	0	0	0	0	0	3	4
788	3	3	28	8	10	0	0	10	0	3		1		             			1		6	36600	0	0	29400	0	0	0	0	19200	1200	1			1					1	1	27600	8400	600	0	0	0	0	0	0	11400	3600	4200	0	0	10200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19200	0	0	0	0	1200	0	0	0	0	0	86400	1	1	1			            			            	1	1	1			1											        						1					1						0	0	0	0	3	3	3	3	3	8	8	3	3	3	8	8	0	3	8	8	0	0	0	0	3	99
789	1	3	29	8	10	22	30	9	0	3		1		             			1		1	53400	0	0	16800	0	8400	0	0	5400	2400	1			1		1			1	1	42000	7800	3600	0	0	0	0	0	0	4200	3600	0	0	0	0	0	9000	0	0	0	0	8400	0	0	0	0	0	0	0	0	0	5400	0	0	0	0	0	0	2400	0	0	0	86400	1	1	1			            			            	1	1						1					1				        						1							1				0	0	0	0	0	3	3	3	3	0	0	8	9	5	5	3	3	0	0	0	0	0	0	0	3	4
789	2	3	29	8	10	22	30	8	30	3		1		             			1		6	51600	0	0	24000	0	6600	0	0	1800	2400	1			1		1			1	1	42000	7800	1800	0	0	0	0	0	0	10200	4800	0	0	0	0	0	9000	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	2400	0	0	0	86400	1	1	1			            			            	1	1						1					1				        						1							1				0	0	0	0	0	3	3	3	3	0	0	3	3	5	5	3	3	0	0	0	0	0	0	0	3	99
792	1	3	13	9	10	0	0	7	30	3		2		           1 			1		1	42000	24600	0	3000	0	0	0	0	7200	9600	1	1		1					1	1	36000	2400	1200	24600	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200	0	0	600	0	9000	0	0	0	0	0	86400	1	1	1	1		            			            								1									        						1			1		1						0	0	3	9	1	1	1	1	0	1	1	3	9	0	0	0	8	8	0	0	0	0	0	0	3	2
792	2	3	13	9	10	0	0	7	0	3		2	1	             			1		1	30000	30000	0	10800	0	0	0	0	7200	8400	1	1		1					1	1	25200	2400	1200	30000	0	0	0	0	0	0	2400	600	0	0	0	0	7800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200	0	0	1200	0	7200	0	0	0	0	0	86400	1	1	1	1		            			            		1	1					1									        						1			1		1						0	0	3	9	1	1	1	1	1	1	1	3	9	3	3	1	8	8	0	0	0	0	0	0	3	2
794	1	3	13	9	10	5	55	8	30	3		2		             	1		4	310	6	39600	0	0	7200	0	18000	0	0	0	21600	1			1		1				1	27000	10200	2400	0	0	0	0	0	0	0	1200	0	0	0	6000	0	0	0	0	0	0	0	14400	3600	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	19800	0	86400	1	1	1			            			            		1				1								1	1		        								1							1		0	9	9	9	9	9	9	5	5	0	0	5	5	0	3	0	5	0	0	0	0	0	0	0	3	99
794	2	3	13	9	10	5	55	8	30	3		2		             	1		4	310	1	41400	0	0	7800	0	15600	0	0	0	21600	1			1		1				1	28800	10200	2400	0	0	0	0	0	0	0	1800	0	0	0	1800	4200	0	0	0	0	0	0	13800	1800	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	19800	0	86400	1	1	1			            			            		1				1	1							1	1		        								1							1		0	9	9	9	9	9	9	5	5	0	0	5	5	0	3	0	5	0	0	0	0	0	0	0	3	2
