Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
ESTUDIS2,Participa en activitats d'estudis a l'escola, institut o universitat,Participa en actividades de estudios en la escuela, instituto o universidad,Participates in study activities at school, secondary school or university,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
ESTUDIS_TLL2,Participa en activitats d'estudis durant el temps lliure,Participa en actividades de estudios durante el tiempo libre,Participates in study activities during free time,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
LLARFAM_NE2,Participa en activitats relacionades amb la llar i la família no especificades,Participa en actividades relacionadas con el hogar y la familia no especificadas,Participates in unspecified household and family activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
CULIN2,Participa en activitats culinàries,Participa en actividades culinarias,Participates in culinary activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
MANTLLAR2,Participa en activitats de manteniment de la llar,Participa en actividades de mantenimiento del hogar,Participates in home maintenance activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
CONFECC2,Participa en activitats de confecció i preparació de la roba,Participa en actividades de confección y preparación de ropa,Participates in clothing making and preparation activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
JARDI2,Participa en activitats de jardineria i cura d'animals,Participa en actividades de jardinería y cuidado de animales,Participates in gardening and animal care activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
REPAR2,Participa en activitats de construcció i reparacions,Participa en actividades de construcción y reparaciones,Participates in construction and repair activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
COMPRA2,Participa en activitats de compres i serveis,Participa en actividades de compras y servicios,Participates in shopping and service activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
GESTIO2,Participa en activitats de gestions de la llar,Participa en actividades de gestiones del hogar,Participates in home management activities,,,,,,
,,,,1,Sí,Sí,Yes,,
,,,,6,No,No,No,,
CURANEN2,Participa en activitats d'atenció als nens membres de la llar,Participa en actividades de atención a los niños miembros del hogar,Participates in care activities for child members of the household,,,,,,
,,,,1,Sí,Sí,Yes,,
