IDQUEST_HT 	CODI_LLAR 	CODI_PERSONA 	TEMPS_TREB_SET 	TEMPS_DIA1 	NOM_DIA1 	TREB_DIA1 	TEMPS_DIA2 	NOM_DIA2 	TREB_DIA2 	TEMPS_DIA3 	NOM_DIA3 	TREB_DIA3 	TEMPS_DIA4 	NOM_DIA4 	TREB_DIA4 	TEMPS_DIA5 	NOM_DIA5 	TREB_DIA5 	TEMPS_DIA6 	NOM_DIA6 	TREB_DIA6 	TEMPS_DIA7 	NOM_DIA7 	TREB_DIA7
   4339901 	     3399 	          01 	          2700 	       540 	       3 	        1 	       540 	       4 	        1 	       540 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       540 	       1 	        1 	       540 	       2 	        1
   4339902 	     3399 	          02 	          1800 	       360 	       3 	        1 	       360 	       4 	        1 	       360 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       360 	       1 	        1 	       360 	       2 	        1
   4340101 	     3401 	          01 	          2400 	       480 	       7 	        1 	         0 	       1 	        6 	         0 	       2 	        6 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	       480 	       6 	        1
   4340102 	     3401 	          02 	          1800 	       300 	       7 	        1 	       300 	       1 	        1 	       300 	       2 	        1 	       300 	       3 	        1 	       300 	       4 	        1 	       300 	       5 	        1 	         0 	       6 	        6
   4340301 	     3403 	          01 	          2520 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       600 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4340303 	     3403 	          03 	          2400 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4340402 	     3404 	          02 	          2610 	       510 	       1 	        1 	       510 	       2 	        1 	       510 	       3 	        1 	       510 	       4 	        1 	       570 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4341001 	     3410 	          01 	           960 	         0 	       7 	        6 	       240 	       1 	        1 	       240 	       2 	        1 	       240 	       3 	        1 	         0 	       4 	        6 	       240 	       5 	        1 	         0 	       6 	        6
   4341202 	     3412 	          02 	           540 	        60 	       1 	        1 	        60 	       2 	        1 	        60 	       3 	        1 	        60 	       4 	        1 	        60 	       5 	        1 	       120 	       6 	        1 	       120 	       7 	        1
   4341504 	     3415 	          04 	          2550 	       510 	       3 	        1 	       510 	       4 	        1 	       510 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       510 	       1 	        1 	       510 	       2 	        1
   4341701 	     3417 	          01 	          3000 	       510 	       7 	        1 	       510 	       1 	        1 	       510 	       2 	        1 	       450 	       3 	        1 	       510 	       4 	        1 	       510 	       5 	        1 	         0 	       6 	        6
   4342202 	     3422 	          02 	          2760 	         0 	       4 	        6 	         0 	       5 	        6 	       360 	       6 	        1 	       600 	       7 	        1 	       600 	       1 	        1 	       600 	       2 	        1 	       600 	       3 	        1
   4342301 	     3423 	          01 	          2100 	       420 	       4 	        1 	       420 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       420 	       1 	        1 	       420 	       2 	        1 	       420 	       3 	        1
   4342501 	     3425 	          01 	          3150 	         0 	       6 	        6 	         0 	       7 	        6 	       630 	       1 	        1 	       630 	       2 	        1 	       630 	       3 	        1 	       630 	       4 	        1 	       630 	       5 	        1
   4342502 	     3425 	          02 	          3360 	       480 	       6 	        1 	       480 	       7 	        1 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1
   4342601 	     3426 	          01 	          3120 	         0 	       7 	        6 	       540 	       1 	        1 	       540 	       2 	        1 	       540 	       3 	        1 	       540 	       4 	        1 	       540 	       5 	        1 	       420 	       6 	        1
   4342602 	     3426 	          02 	          1230 	         0 	       7 	        6 	       240 	       1 	        1 	         0 	       2 	        6 	       480 	       3 	        1 	       240 	       4 	        1 	       270 	       5 	        1 	         0 	       6 	        6
   4343101 	     3431 	          01 	          2130 	       420 	       3 	        1 	       420 	       4 	        1 	       450 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       420 	       1 	        1 	       420 	       2 	        1
   4343102 	     3431 	          02 	          2160 	       420 	       3 	        1 	       480 	       4 	        1 	       240 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       540 	       2 	        1
   4343601 	     3436 	          01 	          2760 	         0 	       1 	        6 	         0 	       2 	        6 	         0 	       3 	        6 	         0 	       4 	        6 	       480 	       5 	        1 	      1440 	       6 	        1 	       840 	       7 	        1
   4343602 	     3436 	          02 	          2400 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4344001 	     3440 	          01 	          1950 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       600 	       2 	        1 	       120 	       3 	        1 	         0 	       4 	        6 	       750 	       5 	        1
   4344501 	     3445 	          01 	          1200 	       300 	       4 	        1 	       240 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       180 	       1 	        1 	       240 	       2 	        1 	       240 	       3 	        1
   4344502 	     3445 	          02 	          2490 	       405 	       4 	        1 	       510 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       525 	       1 	        1 	       525 	       2 	        1 	       525 	       3 	        1
   4344802 	     3448 	          02 	          2550 	         0 	       6 	        6 	         0 	       7 	        6 	       510 	       1 	        1 	       510 	       2 	        1 	       510 	       3 	        1 	       510 	       4 	        1 	       510 	       5 	        1
   4344803 	     3448 	          03 	          2550 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       630 	       5 	        1
   4345001 	     3450 	          01 	          3150 	         0 	       7 	        6 	       630 	       1 	        1 	       630 	       2 	        1 	       630 	       3 	        1 	       630 	       4 	        1 	       630 	       5 	        1 	         0 	       6 	        6
   4345002 	     3450 	          02 	          1200 	         0 	       7 	        6 	       240 	       1 	        1 	       240 	       2 	        1 	       240 	       3 	        1 	       240 	       4 	        1 	       240 	       5 	        1 	         0 	       6 	        6
