Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
JORNADA	"Quin tipus de jornada té a la feina principal?

FILTRE:
[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"¿Qué tipo de jornada tiene en su trabajo principal?

FILTRO:
[Edad miembro del hogar > 15 años]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"What type of working day do you have at your main job?

FILTER:
[Household member age > 15 years]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
JORNADA				1	Completa	Completa	Full-time
JORNADA				2	Parcial	Parcial	Part-time
FLEXIBLE	"Té un horari flexible a la seva feina principal?

[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"¿Tiene un horario flexible en su trabajo principal?

[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Do you have a flexible timetable at your main job?

[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
FLEXIBLE				1	Si	Sí	Yes
FLEXIBLE				6	No	No	No
HORARI	"Com és la seva jornada?

FILTER:
[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"¿Cómo es su jornada?

FILTRO:
[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"What is your working day like?

FILTER:
[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
HORARI				1	Contínua	Continua	Continuous shift
HORARI				2	Partida	Partida	Split shift
REDUCCIO_JORNADA	"La setmana passada, va tenir algun tipus de reducció de jornada laboral per tenir cura d'infants o de persones grans?

FILTRE:
[Edat membre de la llar > 15 anys]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"La semana pasada, ¿tuvo algún tipo de reducción de jornada laboral para cuidar de niños o de personas mayores?

FILTRO:
[Edad miembro del hogar > 15 años]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Last week, did you have any reduction in working hours to care for children or elderly people?

FILTER:
[Household member age > 15 years]
+ 
[SIT_PROF=2 or 3]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
