encuesta_year,hogar_uid,persona_uid,id_hogar,n_pers,tramo_edad,sexo,nivel_estudios,situacion_laboral,estrato,estado_salud,trimestre,dia_semana,tipo_dia,internet_medicion,factor_elevacion,min_cuidados_personales,min_trabajo_remunerado,min_estudios,min_hogar_familia,min_voluntario_reuniones,min_vida_social_diversion,min_deportes_airelibre,min_aficiones_informatica,min_medios_comunicacion,min_trayectos_noespec,min_cp_dormir,min_cp_comer_beber,min_cp_higiene_salud,min_tr_actividad_laboral,min_tr_actividades_relacionadas,min_est_clases_formacion,min_est_estudio_tiempo_libre,min_hf_actividades_culinarias,min_hf_mantenimiento_hogar,min_hf_ropa,min_hf_jardineria_animales,min_hf_construccion_reparaciones,min_hf_compras_servicios,min_hf_gestiones_hogar,min_hf_cuidado_menores,min_hf_cuidado_adultos,min_vr_voluntariado_organizado,min_vr_ayuda_otros_hogares,min_vr_participacion_religion,min_vs_vida_social,min_vs_diversion_cultura,min_vs_ocio_pasivo,min_da_ejercicio_fisico,min_da_ejercicio_productivo,min_da_actividades_relacionadas,min_ai_arte_aficiones,min_ai_informatica,min_ai_juegos,min_mc_lectura,min_mc_television_video,min_mc_radio_grabaciones,min_tray_trabajo,min_tray_estudios,min_tray_hogar_familia,min_tray_voluntariado,min_tray_vida_social,min_tray_otro_ocio,min_tray_cambio_municipio,min_tray_otros_no_especificado,min_internet_total,min_internet_cuidados_personales,min_internet_trabajo_remunerado,min_internet_estudios,min_internet_hogar_familia,min_internet_voluntario_reuniones,min_internet_vida_social_diversion,min_internet_deportes_airelibre,min_internet_aficiones_informatica,min_internet_medios_comunicacion,min_internet_trayectos_noespec
2003,2003_09098,2003_09098_01,09098,01,45-64 años,Hombre,Educación superior,Ocupado,Gran ciudad / Área densa,Muy bueno,Ene-Mar,Viernes-Domingo,Día habitual,Internet,951.2338754688,810.0,0.0,0.0,90.0,0.0,0.0,180.0,0.0,360.0,0.0,550.0,230.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,40.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09098,2003_09098_02,09098,02,25-44 años,Mujer,Educación superior,Ocupado,Gran ciudad / Área densa,Muy bueno,Ene-Mar,Viernes-Domingo,Día habitual,Internet,844.69941325915,840.0,0.0,0.0,150.0,0.0,0.0,180.0,0.0,270.0,0.0,570.0,240.0,30.0,0.0,0.0,0.0,0.0,100.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,10.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09099,2003_09099_01,09099,01,65 o más,Hombre,Sec. primera etapa,Jubilado o prejubilado,Gran ciudad / Área densa,Aceptable,Ene-Mar,Viernes-Domingo,Día habitual,Internet,1171.516569758925,860.0,0.0,0.0,120.0,0.0,330.0,0.0,0.0,130.0,0.0,710.0,130.0,20.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09099,2003_09099_03,09099,03,45-64 años,Hombre,Sec. primera etapa,Ocupado,Gran ciudad / Área densa,Aceptable,Ene-Mar,Viernes-Domingo,Día habitual,Internet,1299.1196637619198,530.0,750.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,50.0,430.0,80.0,20.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09100,2003_09100_01,09100,01,45-64 años,Hombre,Primaria o inferior,Ocupado,Gran ciudad / Área densa,Bueno,Ene-Mar,Viernes-Domingo,Día habitual,Internet,1278.92120800796,520.0,0.0,40.0,660.0,0.0,90.0,10.0,0.0,30.0,90.0,440.0,50.0,30.0,0.0,0.0,40.0,0.0,30.0,50.0,0.0,0.0,0.0,300.0,0.0,280.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09100,2003_09100_02,09100,02,25-44 años,Mujer,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Bueno,Ene-Mar,Viernes-Domingo,Día habitual,Internet,1204.62989860301,580.0,0.0,0.0,760.0,0.0,60.0,0.0,0.0,0.0,40.0,470.0,100.0,10.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,200.0,0.0,380.0,0.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09101,2003_09101_01,09101,01,45-64 años,Mujer,Primaria o inferior,Otra inactividad,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Internet,1263.99227869944,720.0,0.0,0.0,360.0,0.0,0.0,60.0,0.0,300.0,0.0,510.0,180.0,30.0,0.0,0.0,0.0,0.0,270.0,60.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09101,2003_09101_02,09101,02,45-64 años,Hombre,,Jubilado o prejubilado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Internet,1280.6951710431752,760.0,0.0,0.0,270.0,0.0,60.0,0.0,0.0,220.0,130.0,510.0,170.0,80.0,0.0,0.0,0.0,0.0,210.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,100.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09101,2003_09101_03,09101,03,25-44 años,Mujer,Sec. segunda etapa,Ocupado,Gran ciudad / Área densa,Bueno,Oct-Dic,Viernes-Domingo,Día habitual,Internet,1311.579311307795,670.0,480.0,0.0,130.0,0.0,0.0,0.0,0.0,40.0,120.0,510.0,100.0,60.0,480.0,0.0,0.0,0.0,110.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2003_09102,2003_09102_01,09102,01,25-44 años,Hombre,Sec. primera etapa,Ocupado,Gran ciudad / Área densa,Muy bueno,Ene-Mar,Viernes-Domingo,Día habitual,Internet,1387.9295388883602,950.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,300.0,0.0,720.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
