anio,tipo_cruce,valor_cruce,medio,porcentaje
2024,CCAA,Andalucía,Conferencias / seminarios,27.76
2024,CCAA,Aragón,Cursos propios,36.26
2024,CCAA,Aragón,Cursos externos,73.54
2024,CCAA,Aragón,Formación en el puesto,54.98
2024,CCAA,Aragón,Rotación / intercambios,25.53
2024,CCAA,Aragón,Conferencias / seminarios,38.64
2024,CCAA,Asturias (Principado de),Cursos propios,32.34
2024,CCAA,Asturias (Principado de),Cursos externos,74.4
2024,CCAA,Asturias (Principado de),Formación en el puesto,57.97
2024,CCAA,Asturias (Principado de),Rotación / intercambios,21.2
2024,CCAA,Asturias (Principado de),Conferencias / seminarios,32.1
2024,CCAA,Balears (Illes),Cursos propios,30.39
2024,CCAA,Balears (Illes),Cursos externos,72.69
2024,CCAA,Balears (Illes),Formación en el puesto,55.64
2024,CCAA,Balears (Illes),Rotación / intercambios,23.41
2024,CCAA,Balears (Illes),Conferencias / seminarios,36.07
2024,CCAA,Canarias,Cursos propios,29.8
2024,CCAA,Canarias,Cursos externos,71.32
2024,CCAA,Canarias,Formación en el puesto,59.96
2024,CCAA,Canarias,Rotación / intercambios,24.02
2024,CCAA,Canarias,Conferencias / seminarios,28.43
2024,CCAA,Cantabria,Cursos propios,36.7
2024,CCAA,Cantabria,Cursos externos,78.21
2024,CCAA,Cantabria,Formación en el puesto,53.97
2024,CCAA,Cantabria,Rotación / intercambios,27.45
2024,CCAA,Cantabria,Conferencias / seminarios,31.76
2024,CCAA,Castilla-La Mancha,Cursos propios,29.23
2024,CCAA,Castilla-La Mancha,Cursos externos,76.31
2024,CCAA,Castilla-La Mancha,Formación en el puesto,55.34
2024,CCAA,Castilla-La Mancha,Rotación / intercambios,27.47
2024,CCAA,Castilla-La Mancha,Conferencias / seminarios,36.77
2024,CCAA,Castilla y León,Cursos propios,35.08
2024,CCAA,Castilla y León,Cursos externos,70.77
2024,CCAA,Castilla y León,Formación en el puesto,50.71
2024,CCAA,Castilla y León,Rotación / intercambios,26.94
2024,CCAA,Castilla y León,Conferencias / seminarios,36.96
2024,CCAA,Cataluña,Cursos propios,37.3
2024,CCAA,Cataluña,Cursos externos,75.37
2024,CCAA,Cataluña,Formación en el puesto,58.32
2024,CCAA,Cataluña,Rotación / intercambios,30.78
2024,CCAA,Cataluña,Conferencias / seminarios,41.25
2024,CCAA,Comunitat Valenciana,Cursos propios,38.07
2024,CCAA,Comunitat Valenciana,Cursos externos,71.12
2024,CCAA,Comunitat Valenciana,Formación en el puesto,55.54
2024,CCAA,Comunitat Valenciana,Rotación / intercambios,26.03
2024,CCAA,Comunitat Valenciana,Conferencias / seminarios,32.28
2024,CCAA,Extremadura,Cursos propios,32.38
2024,CCAA,Extremadura,Cursos externos,69.08
2024,CCAA,Extremadura,Formación en el puesto,58.01
2024,CCAA,Extremadura,Rotación / intercambios,33.99
2024,CCAA,Extremadura,Conferencias / seminarios,33.56
2024,CCAA,Galicia,Cursos propios,26.73
2024,CCAA,Galicia,Cursos externos,74.48
2024,CCAA,Galicia,Formación en el puesto,62.98
2024,CCAA,Galicia,Rotación / intercambios,27.13
2024,CCAA,Galicia,Conferencias / seminarios,34.49
2024,CCAA,Madrid (Comunidad de),Cursos propios,41.84
2024,CCAA,Madrid (Comunidad de),Cursos externos,71.68
2024,CCAA,Madrid (Comunidad de),Formación en el puesto,58.77
2024,CCAA,Madrid (Comunidad de),Rotación / intercambios,26.18
2024,CCAA,Madrid (Comunidad de),Conferencias / seminarios,38.47
2024,CCAA,Murcia (Región de),Cursos propios,28.46
2024,CCAA,Murcia (Región de),Cursos externos,77.7
2024,CCAA,Murcia (Región de),Formación en el puesto,53.7
2024,CCAA,Murcia (Región de),Rotación / intercambios,26.65
2024,CCAA,Murcia (Región de),Conferencias / seminarios,30.62
2024,CCAA,Navarra (Comunidad Foral de),Cursos propios,35.64
2024,CCAA,Navarra (Comunidad Foral de),Cursos externos,74.19
2024,CCAA,Navarra (Comunidad Foral de),Formación en el puesto,59.88
2024,CCAA,Navarra (Comunidad Foral de),Rotación / intercambios,29.09
2024,CCAA,Navarra (Comunidad Foral de),Conferencias / seminarios,36.74
2024,CCAA,País Vasco,Cursos propios,44.73
2024,CCAA,País Vasco,Cursos externos,69.77
2024,CCAA,País Vasco,Formación en el puesto,58.92
2024,CCAA,País Vasco,Rotación / intercambios,31.51
2024,CCAA,País Vasco,Conferencias / seminarios,36.79
2024,CCAA,"Rioja, La",Cursos propios,37.86
2024,CCAA,"Rioja, La",Cursos externos,70.36
2024,CCAA,"Rioja, La",Formación en el puesto,59.45
2024,CCAA,"Rioja, La",Rotación / intercambios,28.86
2024,CCAA,"Rioja, La",Conferencias / seminarios,36.74
