anio,tema,desglose,corte,competencia_id,competencia,indicador,porcentaje,unidad,universo,archivo_origen,hoja_origen
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,29.487900956668543,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,otras,Otras,formacion_ofrecida,14.575126617895329,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,resolucion_problemas,Resolución de problemas,formacion_ofrecida,16.769836803601574,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,49.465391108610014,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,23.747889701744512,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,10.467079347214407,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Más de 499 trabajadores,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,31.570061902082163,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,15.630788401306706,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,23.473545953591756,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,1.6013875324150473,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,direccion,Dirección,formacion_ofrecida,13.52802007207086,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,8.894352204223217,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
